Title,Adress,Living Area,Rooms,Status,Price
Zeeburgerkade 462,1019 HP Amsterdam,85 m²,3 rooms,Available immediately,"€ 1,600 p/mo."
Stadionweg 162 2,1077 TB Amsterdam,116 m²,4 rooms,Available on 6/1/2022,"€ 2,750 p/mo."
Stadionweg 162 1,1077 TB Amsterdam,116 m²,4 rooms,Available on 8/1/2022,"€ 3,000 p/mo."
Jan van Galenstraat 173 3,1056 BS Amsterdam,85 m²,6 rooms,Available on 6/1/2022,"€ 2,500 p/mo."
Sprinklerstraat 81,1019 VR Amsterdam,94 m²,3 rooms,Available immediately,"€ 2,250 p/mo."
Keizersgracht 492 C,1017 EH Amsterdam,110 m²,3 rooms,Available on 7/1/2022,"€ 3,400 p/mo."
Herengracht 92 3,1015 BS Amsterdam,110 m²,3 rooms,Available on 6/1/2022,"€ 2,350 p/mo."
Raphaëlplein 31 I,1077 PX Amsterdam,139 m²,5 rooms,Available on 6/1/2022,"€ 4,500 p/mo."
Conradstraat 128 A,1018 NM Amsterdam,90 m²,4 rooms,Available on 6/1/2022,"€ 2,500 p/mo."
Spadinalaan 184,1031 KB Amsterdam,109 m²,4 rooms,Available immediately,"€ 1,800 p/mo."
Muntplein 2 F,1012 WR Amsterdam,65 m²,2 rooms,Available immediately,"€ 1,680 p/mo."
Merckenburg 36,1082 BT Amsterdam,85 m²,4 rooms,Available on 6/18/2022,"€ 2,100 p/mo."
Van der Hoopstraat 116 3,1051 VN Amsterdam,96 m²,5 rooms,Available immediately,"€ 2,650 p/mo."
Oudezijds Voorburgwal 99 G,1012 EM Amsterdam,80 m²,3 rooms,Available immediately,"€ 2,250 p/mo."
Amstelveenseweg 145 1,1075 VZ Amsterdam,66 m²,2 rooms,Available on 6/1/2022,"€ 2,100 p/mo."
Milletstraat 7 huis,1077 ZA Amsterdam,115 m²,4 rooms,Available in consultation,"€ 2,500 p/mo."
Apollolaan 35 1,1077 AC Amsterdam,107 m²,4 rooms,Available immediately,"€ 2,650 p/mo."
Eendrachtstraat 13 hs,1078 XV Amsterdam,77 m²,2 rooms,Available immediately,"€ 1,950 p/mo."
Hellingstraat 156,1033 WW Amsterdam,82 m²,3 rooms,Available immediately,"€ 1,694 p/mo."
Wijdesteeg 18,1012 RN Amsterdam,62 m²,2 rooms,Available immediately,"€ 1,800 p/mo."
Kerkstraat 127 A,1017 GE Amsterdam,123 m²,4 rooms,Available on 6/1/2022,"€ 3,000 p/mo."
Jan Puntstraat 117,1065 MB Amsterdam,42 m²,2 rooms,Available in consultation,"€ 1,195 p/mo."
Gillis van Ledenberchstraat 114 F,1052 VK Amsterdam,75 m²,3 rooms,Available immediately,"€ 1,975 p/mo."
Keizersgracht 138 C,1015 CW Amsterdam,75 m²,2 rooms,Available on 6/1/2022,"€ 2,250 p/mo."
Valkenburgerstraat 132 C,1011 NA Amsterdam,91 m²,3 rooms,Available on 6/1/2022,"€ 3,000 p/mo."
Holendrechtstraat 26 3,1078 TT Amsterdam,70 m²,3 rooms,Available on 7/1/2022,"€ 1,900 p/mo."
Van Nijenrodeweg 320,1082 HB Amsterdam,122 m²,4 rooms,Available in consultation,"€ 2,500 p/mo."
Geldersekade 92 F,1012 BM Amsterdam,115 m²,3 rooms,Available immediately,"€ 2,500 p/mo."
Valeriusstraat 121 H,1075 ER Amsterdam,145 m²,4 rooms,Available immediately,"€ 4,500 p/mo."
De Wittenkade 31 R2,1052 AB Amsterdam,65 m²,2 rooms,Available on 6/6/2022,"€ 1,750 p/mo."
Ceintuurbaan 412 III,1074 EA Amsterdam,70 m²,3 rooms,Available in consultation,"€ 2,250 p/mo."
Madurastraat 8 D,1094 GL Amsterdam,58 m²,2 rooms,Available immediately,"€ 1,600 p/mo."
Borgerstraat 195 h,1053 PK Amsterdam,55 m²,2 rooms,Available immediately,"€ 1,850 p/mo."
Boeroestraat 35,1095 VP Amsterdam,79 m²,3 rooms,Available on 6/15/2022,"€ 1,750 p/mo."
Sloterweg 824 1,1066 CP Amsterdam,80 m²,2 rooms,Available in consultation,"€ 1,750 p/mo."
Pruimenstraat 10 B,1033 KM Amsterdam,80 m²,4 rooms,Available immediately,"€ 1,550 p/mo."
Alexanderplein 1 B,1018 CG Amsterdam,110 m²,3 rooms,Available immediately,"€ 2,850 p/mo."
Leonard Bernsteinstraat 76 A,1082 MR Amsterdam,130 m²,3 rooms,Available immediately,"€ 3,250 p/mo."
Mary Zeldenruststraat 21,1091 DL Amsterdam,65 m²,2 rooms,Available on 6/1/2022,"€ 1,650 p/mo."
Jisperveldstraat 464,1024 AX Amsterdam,85 m²,4 rooms,Available immediately,"€ 1,700 p/mo."
Christoffelkruidstraat 50,1032 LK Amsterdam,80 m²,3 rooms,Available on 6/1/2022,"€ 2,000 p/mo."
Sarphatikade 21 HS,1017 WV Amsterdam,100 m²,3 rooms,Available on 6/1/2022,"€ 2,750 p/mo."
Nicolaas Maesstraat 123 1,1071 PW Amsterdam,88 m²,2 rooms,Available immediately,"€ 2,500 p/mo."
Damstraat 1 E,1012 JL Amsterdam,100 m²,3 rooms,Available immediately,"€ 3,950 p/mo."
Driekoningenstraat 1 B,1016 AL Amsterdam,91 m²,3 rooms,Available in consultation,"€ 2,150 p/mo."
Nieuw Herlaer 57,1083 BB Amsterdam,104 m²,3 rooms,Available in consultation,"€ 1,995 p/mo."
Kastelenstraat 99 III,1082 EA Amsterdam,114 m²,3 rooms,Available in consultation,"€ 2,100 p/mo."
Oudezijds Voorburgwal 99 H,1012 EM Amsterdam,80 m²,3 rooms,Available immediately,"€ 2,295 p/mo."
Dirk Schäferstraat 47 III,1076 BB Amsterdam,96 m²,3 rooms,Available in consultation,"€ 1,750 p/mo."
Eerste Jan van der Heijdenstraat 104 I,1072 VA Amsterdam,65 m²,3 rooms,Available on 7/1/2022,"€ 2,300 p/mo."
Plantage Badlaan 5 hs,1018 TE Amsterdam,140 m²,4 rooms,Available immediately,"€ 3,250 p/mo."
Koperslagerij 75,1021 NJ Amsterdam,43 m²,2 rooms,Available immediately,"€ 1,375 p/mo."
Leusdenhof 131,1108 DB Amsterdam,68 m²,3 rooms,Available immediately,"€ 1,211 p/mo."
ms. van Riemsdijkweg 52,1033 RD Amsterdam,82 m²,3 rooms,Available on 6/1/2022,"€ 1,212 p/mo."
Valeriusstraat 17 hs,1071 MB Amsterdam,130 m²,5 rooms,Available in consultation,"€ 4,500 p/mo."
Rijnlandlaan 99,1062 MX Amsterdam,92 m²,3 rooms,Available immediately,"€ 1,635 p/mo."
Moreelsestraat 7 Boven,1071 BJ Amsterdam,145 m²,6 rooms,Available immediately,"€ 4,750 p/mo."
Ukkelhof 14,1066 WV Amsterdam,120 m²,5 rooms,Available on 7/1/2022,"€ 2,000 p/mo."
Jacob van Lennepkade 627,1054 ZW Amsterdam,80 m²,3 rooms,Available on 6/1/2022,"€ 2,450 p/mo."
Huidenstraat 10 A,1016 ES Amsterdam,135 m²,4 rooms,Available on 6/1/2022,"€ 3,750 p/mo."
Scheepsbouwweg 163,1033 DC Amsterdam,73 m²,3 rooms,Available on 6/1/2022,"€ 1,550 p/mo."
Rochussenstraat 4 4,1051 JK Amsterdam,38 m²,1 room,Available on 6/1/2022,"€ 1,450 p/mo."
Lange Leidsedwarsstraat 66 3,1017 NM Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,950 p/mo."
Van Bossestraat 3 II,1051 JR Amsterdam,53 m²,3 rooms,Available in consultation,"€ 1,800 p/mo."
Zeeburgerdijk 112 M,1094 AJ Amsterdam,190 m²,6 rooms,Available on 7/1/2022,"€ 3,900 p/mo."
Dickenslaan 43,1102 XN Amsterdam,60 m²,3 rooms,Available on 5/27/2022,"€ 1,400 p/mo."
Oudezijds Voorburgwal 19 -3,1012 EH Amsterdam,100 m²,3 rooms,Available immediately,"€ 2,000 p/mo."
Vondelstraat 29 II,1054 GJ Amsterdam,90 m²,2 rooms,Available in consultation,"€ 2,750 p/mo."
Milletstraat 56 2,1077 ZG Amsterdam,130 m²,4 rooms,Available on 6/1/2022,"€ 2,850 p/mo."
Vrijzicht 181,1068 CK Amsterdam,72 m²,2 rooms,Available in consultation,"€ 1,675 p/mo."
Driehoekstraat 1 A,1015 GL Amsterdam,110 m²,3 rooms,Available on 6/1/2022,"€ 2,300 p/mo."
Runstraat 2 a,1016 GK Amsterdam,70 m²,4 rooms,Available immediately,"€ 2,150 p/mo."
Tugelaweg 43 D,1092 VH Amsterdam,87 m²,3 rooms,Available immediately,"€ 2,000 p/mo."
Sumatrakade 1109,1019 RG Amsterdam,90 m²,3 rooms,Available on 6/1/2022,"€ 1,570 p/mo."
Nida Senffstraat 97,1095 MX Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,750 p/mo."
Herengracht 391 c,1016 BC Amsterdam,136 m²,4 rooms,Available immediately,"€ 3,450 p/mo."
Emmalaan 19 B,1075 AT Amsterdam,90 m²,3 rooms,Available immediately,"€ 2,950 p/mo."
ms. Oslofjordweg 36,1033 SM Amsterdam,88 m²,2 rooms,Available on 7/1/2022,"€ 1,400 p/mo."
Watteaustraat 29 2,1077 ZK Amsterdam,115 m²,4 rooms,Available on 7/1/2022,"€ 2,500 p/mo."
Statenjachtstraat 219,1034 GA Amsterdam,104 m²,4 rooms,Available immediately,"€ 2,000 p/mo."
Fleerde 7,1102 AV Amsterdam,100 m²,3 rooms,Available in consultation,"€ 1,600 p/mo."
Faas Wilkesstraat 129 K,1095 MD Amsterdam,81 m²,3 rooms,Available on 6/1/2022,"€ 1,376 p/mo."
Rubensstraat 64 III,1077 MX Amsterdam,126 m²,5 rooms,Available in consultation,"€ 3,650 p/mo."
Leusdenhof 326,1108 DR Amsterdam,86 m²,3 rooms,Available immediately,"€ 1,275 p/mo."
Willemsparkweg 190 H,1071 HV Amsterdam,262 m²,7 rooms,Available on 8/1/2022,"€ 7,000 p/mo."
Eef Kamerbeekstraat 630,1095 MP Amsterdam,91 m²,3 rooms,Available immediately,"€ 1,371 p/mo."
Vrijheidslaan 29 3,1079 KC Amsterdam,76 m²,3 rooms,Available immediately,"€ 1,650 p/mo."
Herengracht 596 II,1017 CJ Amsterdam,63 m²,2 rooms,Available on 6/1/2022,"€ 1,950 p/mo."
Warmondstraat 143,1058 KV Amsterdam,73 m²,3 rooms,Available immediately,"€ 2,000 p/mo."
Buiten Brouwersstraat 14 h,1013 GK Amsterdam,125 m²,6 rooms,Available immediately,"€ 2,250 p/mo."
Tweede Helmersstraat 98 II,1054 CN Amsterdam,134 m²,4 rooms,Available on 6/1/2022,"€ 3,150 p/mo."
Reguliersgracht 107 K,1017 LP Amsterdam,125 m²,4 rooms,Available on 6/24/2022,"€ 2,650 p/mo."
John Franklinstraat 62 hs,1056 TE Amsterdam,50 m²,3 rooms,Available in consultation,"€ 1,450 p/mo."
Fagelstraat 78 2hg,1052 GG Amsterdam,44 m²,2 rooms,Available in consultation,"€ 1,650 p/mo."
Valeriusstraat 68 H,1071 ML Amsterdam,140 m²,7 rooms,Available in consultation,"€ 5,500 p/mo."
Bos en Lommerweg 185 III,1055 DT Amsterdam,75 m²,3 rooms,Available immediately,"€ 1,800 p/mo."
Jan Evertsenstraat 98 III,1056 EH Amsterdam,95 m²,4 rooms,Available immediately,"€ 2,250 p/mo."
Johannes Verhulststraat 110 II,1071 NL Amsterdam,122 m²,4 rooms,Available immediately,"€ 4,500 p/mo."
Tommaso Albinonistraat 126,1083 HM Amsterdam,126 m²,3 rooms,Available on 6/1/2022,"€ 3,000 p/mo."
Oetewalerstraat 37,1093 MC Amsterdam,73 m²,3 rooms,Available in consultation,"€ 1,950 p/mo."
Daniël Stalpertstraat 41 K,1072 XA Amsterdam,60 m²,2 rooms,Available immediately,"€ 2,300 p/mo."
Falckstraat 4 -C,1017 VW Amsterdam,105 m²,4 rooms,Available immediately,"€ 2,650 p/mo."
Koningsplein 10 R,1017 BB Amsterdam,83 m²,2 rooms,Available immediately,"€ 1,800 p/mo."
Orteliusstraat 234 2,1056 PH Amsterdam,50 m²,3 rooms,Available immediately,"€ 1,350 p/mo."
Frederik Hendrikplantsoen 84 HS,1052 XX Amsterdam,100 m²,5 rooms,Available immediately,"€ 2,250 p/mo."
Brouwersgracht 246 II,1013 HE Amsterdam,35 m²,2 rooms,Available in consultation,"€ 1,750 p/mo."
Hoofdweg 95 B,1058 BA Amsterdam,65 m²,6 rooms,Available on 6/16/2022,"€ 1,750 p/mo."
Van Spilbergenstraat 120 II,1057 RN Amsterdam,50 m²,3 rooms,Available immediately,"€ 1,635 p/mo."
Corantijnstraat 29 2,1058 DC Amsterdam,48 m²,2 rooms,Available on 6/19/2022,"€ 1,600 p/mo."
Van Spilbergenstraat 112 2,1057 RM Amsterdam,52 m²,3 rooms,Available in consultation,"€ 1,355 p/mo."
Dr. J.A. Ringersstraat 50,1067 DG Amsterdam,92 m²,3 rooms,Available in consultation,"€ 1,200 p/mo."
Jacob Obrechtstraat 1 BV,1071 KC Amsterdam,140 m²,5 rooms,Available immediately,"€ 4,000 p/mo."
Weteringschans 41 C,1017 RW Amsterdam,120 m²,3 rooms,Available on 6/3/2022,"€ 2,500 p/mo."
Kastanjeplein 7 -1,1092 CH Amsterdam,66 m²,3 rooms,Available in consultation,"€ 1,650 p/mo."
Marco Polostraat 212 -H,1057 XA Amsterdam,50 m²,2 rooms,Available immediately,"€ 1,250 p/mo."
Amstelkade 116 3,1078 AR Amsterdam,96 m²,5 rooms,Available in consultation,"€ 1,850 p/mo."
Zaagmolenstraat 16 2hg,1052 HD Amsterdam,45 m²,3 rooms,Available immediately,"€ 1,995 p/mo."
Wijsmullerstraat 26 -II,1058 JJ Amsterdam,125 m²,5 rooms,Available immediately,"€ 3,250 p/mo."
Stadionplein 194,1076 CK Amsterdam,87 m²,3 rooms,Available immediately,"€ 1,910 p/mo."
Grasweg 104,1031 HX Amsterdam,34 m²,1 room,Available immediately,€ 869 p/mo.
Haardstee 236,1102 NN Amsterdam,83 m²,4 rooms,Available immediately,"€ 1,450 p/mo."
Kruitberghof 113,1104 BC Amsterdam,120 m²,4 rooms,Available immediately,"€ 1,595 p/mo."
Goudsbloemstraat 191,1015 JN Amsterdam,51 m²,2 rooms,Available in consultation,"€ 1,800 p/mo."
Wethouder Frankeweg 32 3,1098 LB Amsterdam,100 m²,3 rooms,Available on 6/14/2022,"€ 1,775 p/mo."
Ten Katestraat 18 4,1053 CE Amsterdam,41 m²,3 rooms,Available on 6/3/2022,"€ 1,600 p/mo."
Eerste Sweelinckstraat 10,1073 CM Amsterdam,73 m²,3 rooms,Available immediately,"€ 2,450 p/mo."
Emmy Andriessestraat 220,1087 ML Amsterdam,106 m²,4 rooms,Available in consultation,"€ 1,365 p/mo."
Ceintuurbaan 230 1,1072 GE Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,700 p/mo."
Kastanjeplein 7 -2,1092 CH Amsterdam,67 m²,2 rooms,Available in consultation,"€ 1,650 p/mo."
Prinsengracht 1123 H,1017 JK Amsterdam,100 m²,2 rooms,Available in consultation,"€ 2,500 p/mo."
Bloemstraat 79 3,1016 KX Amsterdam,40 m²,2 rooms,Available on 6/1/2022,"€ 1,500 p/mo."
ms. van Riemsdijkweg 104,1033 RD Amsterdam,66 m²,3 rooms,Available immediately,"€ 1,400 p/mo."
mt. Lincolnweg 14 S4,1033 SN Amsterdam,88 m²,3 rooms,Available on 6/1/2022,"€ 1,715 p/mo."
Genhoes 13,1082 BC Amsterdam,,,Available in consultation,€ 250 p/mo.
Emmy Andriessestraat 214,1087 ML Amsterdam,106 m²,4 rooms,Available in consultation,"€ 1,375 p/mo."
E1,1076 DW Amsterdam,87 - 222 m²,4 rooms,,"From € 1,405 to 4,100 p/mo."
H,1019 RD Amsterdam,49 - 136 m²,,,"From € 875 to 2,000 p/mo."
F4,1019 ZZ Amsterdam,44 - 142 m²,,,"From € 995 to 2,000 p/mo."
F4,1019 BJ Amsterdam,54 - 158 m²,,,"From € 975 to 2,000 p/mo."
R1,1033 SM Amsterdam,92 m²,4 rooms,,"From € 1,390 to 1,430 p/mo."
S1,1033 EM Amsterdam,67 m²,3 rooms,,"€ 1,440 p/mo."
Appartement type C,1014 ZP Amsterdam,77 m²,3 rooms,,"From € 1,500 to 3,000 p/mo."
Appartement KingTwo,1062 KR Amsterdam,60 m²,2 rooms,,"From € 1,000 to 1,200 p/mo."
Appartement KingTwo,1062 KS Amsterdam,60 m²,2 rooms,,"From € 1,000 to 1,200 p/mo."
Y,1076 DW Amsterdam,87 - 222 m²,4 rooms,,"From € 1,585 to 4,100 p/mo."
Appartement type Ls,1014 ZP Amsterdam,102 m²,4 rooms,,"From € 1,500 to 2,500 p/mo."
A,1076 DN Amsterdam,72 - 185 m²,3 rooms,,"From € 1,180 to 3,565 p/mo."
V,1076 DZ Amsterdam,87 - 222 m²,,,"From € 1,640 to 4,100 p/mo."
F,1076 DM Amsterdam,70 - 195 m²,3 rooms,,"From € 1,300 to 3,700 p/mo."
G',1019 PK Amsterdam,54 - 158 m²,,,"From € 975 to 2,000 p/mo."
Appartement type Ns,1014 ZP Amsterdam,98 m²,3 rooms,,"From € 1,885 to 2,140 p/mo."
A3,1076 DV Amsterdam,75 - 200 m²,,,"From € 1,400 to 3,800 p/mo."
Q,1096 DT Amsterdam,130 m²,,,"€ 1,175 p/mo."
Appartement type Js,1014 ZP Amsterdam,69 m²,2 rooms,,"€ 1,450 p/mo."
Appartement type L1s,1014 ZP Amsterdam,102 m²,4 rooms,,"From € 2,360 to 2,400 p/mo."
S1,1076 CK Amsterdam,59 - 113 m²,,,"From € 750 to 3,000 p/mo."
D2,1019 WC Amsterdam,83 - 148 m²,,,"From € 1,000 to 2,500 p/mo."
SquareTwo,1079 PE Amsterdam,55 - 61 m²,2 rooms,,"From € 1,200 to 1,300 p/mo."
SquareSpecial,1079 PE Amsterdam,62 - 74 m²,3 rooms,,"From € 1,150 to 1,200 p/mo."
Argentinië Blok 1&2 - Appartementen,1019 BW Amsterdam,91 - 130 m²,3 rooms,,"From € 1,200 to 2,000 p/mo."
Gare du Nord - Appartementen,1022 LA Amsterdam,33 - 123 m²,3 rooms,,"From € 870 to 1,900 p/mo."
De Keyzer - Appartementen,1018 RR Amsterdam,70 - 132 m²,3 rooms,,"From € 1,250 to 2,200 p/mo."
De Bellamy - Appartementen,1053 RS Amsterdam,80 - 100 m²,3 rooms,,"From € 1,300 to 1,900 p/mo."
Argentinië Blok 3 - Appartementen,1019 BW Amsterdam,75 - 150 m²,3 rooms,,"From € 1,300 to 3,000 p/mo."
O1,1076 DW Amsterdam,85 - 222 m²,4 rooms,,"From € 1,585 to 4,500 p/mo."
O2,1076 DW Amsterdam,85 - 222 m²,4 rooms,,"From € 1,585 to 4,500 p/mo."
D2,1076 DN Amsterdam,70 - 195 m²,4 rooms,,"From € 1,400 to 3,800 p/mo."
Westbeat - 4-kamerappartement type A,1062 EB Amsterdam,111 m²,4 rooms,,"From € 1,875 to 1,900 p/mo."
Westbeat - 4-kamerappartement type F,1062 EB Amsterdam,89 - 116 m²,4 rooms,,"From € 1,740 to 2,000 p/mo."
Westbeat - 5-kamerappartement type E,1062 EB Amsterdam,147 m²,5 rooms,,"From € 2,240 to 2,250 p/mo."
Westbeat - 2-kamerappartement type D,1062 EB Amsterdam,42 - 80 m²,2 rooms,,"From € 965 to 1,600 p/mo."
Westbeat - 2-kamerappartement type C,1062 EB Amsterdam,56 - 69 m²,2 rooms,,"From € 1,200 to 1,450 p/mo."
Westbeat - 2-kamerappartement type B,1062 EB Amsterdam,55 m²,2 rooms,,"From € 1,215 to 1,250 p/mo."
G3,1019 ZZ Amsterdam,44 - 142 m²,,,"From € 995 to 2,000 p/mo."
D4,1019 SC Amsterdam,44 - 142 m²,,,"From € 995 to 2,000 p/mo."
"Buitenveldert I, II & III - Type 4TI",1083 JK Amsterdam,85 - 95 m²,4 rooms,,"From € 1,085 to 2,250 p/mo."
Y,1096 DS Amsterdam,179 m²,,,"€ 1,515 p/mo."
Westbeat - 3-kamerappartement type F,1062 EB Amsterdam,87 - 95 m²,3 rooms,,"From € 1,655 to 1,800 p/mo."
Overig,1076 DW Amsterdam,,1 room,,From € 75 to 175 p/mo.
A,1033 SC Amsterdam,46 m²,,,From € 805 to 855 p/mo.
Appartement type Ys,1014 ZP Amsterdam,100 m²,3 rooms,,"From € 1,900 to 2,100 p/mo."
Cruquius - Vier kamer appartement,1019 AJ Amsterdam,87 - 110 m²,4 rooms,,"From € 1,440 to 1,900 p/mo."
Cruquius - Twee kamer appartement,1019 AJ Amsterdam,54 - 68 m²,2 rooms,,"From € 995 to 1,250 p/mo."
Cruquius - Studio,1019 AJ Amsterdam,45 - 46 m²,1 room,,"From € 985 to 1,050 p/mo."
Cruquius - Friends S,1019 VT Amsterdam,56 - 61 m²,3 rooms,,"From € 1,200 to 1,300 p/mo."
Cruquius - Friends M,1019 AJ Amsterdam,66 - 71 m²,3 rooms,,"From € 1,300 to 1,400 p/mo."
Appartement type Id,1014 ZP Amsterdam,150 m²,4 rooms,,"€ 3,055 p/mo."
Cruquius - Drie kamer appartement,1019 AJ Amsterdam,68 - 83 m²,3 rooms,,"From € 1,180 to 1,500 p/mo."
B5,1019 WK Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
W,1096 DT Amsterdam,128 m²,,,"€ 1,165 p/mo."
A0,1076 DS Amsterdam,78 - 185 m²,,,"From € 1,180 to 3,660 p/mo."
C01,1033 SC Amsterdam,60 m²,3 rooms,,"From € 800 to 3,000 p/mo."
Q,1033 SN Amsterdam,96 m²,3 rooms,,"From € 1,320 to 1,360 p/mo."
C1,1019 WL Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
O,1033 SN Amsterdam,57 m²,3 rooms,,"From € 1,000 to 1,060 p/mo."
B,1019 RL Amsterdam,64 - 120 m²,,,"From € 1,125 to 2,000 p/mo."
X1,1033 SM Amsterdam,86 m²,3 rooms,,"€ 1,250 p/mo."
Appartement type L,1014 ZP Amsterdam,102 m²,4 rooms,,"From € 2,250 to 2,290 p/mo."
I,1096 DT Amsterdam,125 m²,2 rooms,,€ 794 p/mo.
D,1076 DV Amsterdam,72 - 193 m²,4 rooms,,"From € 1,585 to 3,565 p/mo."
A,1076 DT Amsterdam,87 - 193 m²,3 rooms,,"From € 1,585 to 3,525 p/mo."
B1,1019 WK Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
FS,1019 BJ Amsterdam,54 - 158 m²,,,"From € 975 to 2,000 p/mo."
C03sp,1033 SC Amsterdam,58 m²,3 rooms,,"From € 950 to 3,000 p/mo."
B,1076 DN Amsterdam,75 - 200 m²,,,"From € 1,400 to 3,800 p/mo."
D1,1076 DV Amsterdam,70 - 195 m²,,,"From € 1,300 to 3,700 p/mo."
D1,1076 DW Amsterdam,85 - 195 m²,,,"From € 1,585 to 3,700 p/mo."
Appartement type Ds,1014 ZP Amsterdam,67 m²,3 rooms,,"€ 1,575 p/mo."
P,1076 DW Amsterdam,70 - 222 m²,,,"From € 1,300 to 4,500 p/mo."
Appartement type D,1014 ZP Amsterdam,67 m²,3 rooms,,"€ 1,605 p/mo."
Appartement type Fs,1014 ZP Amsterdam,118 m²,3 rooms,,"From € 1,500 to 5,000 p/mo."
P,1096 DS Amsterdam,168 m²,,,"€ 1,485 p/mo."
Appartement type Cs,1014 ZP Amsterdam,77 m²,3 rooms,,"From € 1,550 to 1,650 p/mo."
D2,1076 DW Amsterdam,72 - 222 m²,4 rooms,,"From € 1,405 to 4,100 p/mo."
H2,1076 DW Amsterdam,72 - 222 m²,3 rooms,,"From € 1,405 to 4,100 p/mo."
K,1076 DW Amsterdam,72 - 222 m²,3 rooms,,"From € 1,405 to 4,100 p/mo."
210,1019 WC Amsterdam,83 - 148 m²,,,"From € 1,000 to 2,500 p/mo."
Overigen,1031 KP Amsterdam,"1,000 m²",,,"From € 915 to 1,800 p/mo."
K,1076 DV Amsterdam,87 - 193 m²,4 rooms,,"From € 1,640 to 3,565 p/mo."
B3,1019 WK Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
Appartement type Ia,1014 ZP Amsterdam,150 m²,4 rooms,,"€ 3,000 p/mo."
L,1076 DZ Amsterdam,70 - 222 m²,3 rooms,,"From € 1,300 to 4,500 p/mo."
Westbeat - 3-kamerappartement type A,1062 EB Amsterdam,179 - 190 m²,,,"From € 1,355 to 1,420 p/mo."
QueenThree,1062 KT Amsterdam,90 m²,3 rooms,,"From € 1,150 to 1,500 p/mo."
217,1019 XA Amsterdam,83 - 148 m²,,,"From € 1,000 to 2,500 p/mo."
A3 3K,1019 WL Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
A3 2K,1019 WJ Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
CS,1019 PH Amsterdam,54 - 158 m²,,,"From € 975 to 2,000 p/mo."
D1,1076 CK Amsterdam,59 - 113 m²,,,"From € 750 to 3,000 p/mo."
J,1096 DT Amsterdam,125 m²,2 rooms,,€ 773 p/mo.
J,1096 DT Amsterdam,125 m²,2 rooms,,€ 773 p/mo.
D1,1019 WL Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
J,1019 PL Amsterdam,54 - 158 m²,,,"From € 975 to 2,000 p/mo."
Q-5,1096 DT Amsterdam,70 m²,3 rooms,,"From € 1,554 to 1,555 p/mo."
G',1019 SG Amsterdam,44 - 160 m²,,,"From € 995 to 2,500 p/mo."
B1,1076 CK Amsterdam,59 - 113 m²,,,"From € 750 to 3,000 p/mo."
C4,1019 WJ Amsterdam,83 - 130 m²,,,"From € 1,100 to 2,000 p/mo."
BG-L,1096 DT Amsterdam,195 m²,3 rooms,,"From € 1,449 to 1,450 p/mo."
H,1019 SH Amsterdam,44 - 160 m²,,,"From € 995 to 2,500 p/mo."
C',1019 RA Amsterdam,49 - 136 m²,,,"From € 875 to 2,000 p/mo."
E,1019 RD Amsterdam,49 - 136 m²,,,"From € 875 to 2,000 p/mo."
X2,1033 SM Amsterdam,86 m²,3 rooms,,"€ 1,360 p/mo."
BG-L1,1096 DT Amsterdam,198 m²,3 rooms,,"From € 1,459 to 1,460 p/mo."
M-2,1096 DT Amsterdam,62 m²,,,"€ 1,419 p/mo."
Type Loft A - Summertime,1082 MA Amsterdam,70 - 72 m²,1 room,,"From € 991 to 1,765 p/mo."
The David - 3-kamer appartement,1066 LH Amsterdam,72 - 142 m²,3 rooms,,"From € 1,100 to 1,650 p/mo."
D,1019 SH Amsterdam,44 - 160 m²,,,"From € 995 to 2,500 p/mo."
F,1096 DS Amsterdam,48 m²,,,From € 773 to 780 p/mo.
C,1019 SC Amsterdam,44 - 142 m²,,,"From € 995 to 2,000 p/mo."
C,1019 SG Amsterdam,44 - 160 m²,,,"From € 995 to 2,500 p/mo."
G3,1019 SG Amsterdam,44 - 160 m²,,,"From € 995 to 2,500 p/mo."
C',1019 ZZ Amsterdam,44 - 142 m²,,,"From € 995 to 2,000 p/mo."
FS,1019 SG Amsterdam,44 - 160 m²,,,"From € 995 to 2,500 p/mo."
C,1019 SC Amsterdam,70 - 186 m²,,,"From € 1,275 to 2,500 p/mo."
BC3,1019 PX Amsterdam,49 - 136 m²,,,"From € 875 to 2,000 p/mo."
B,1019 RC Amsterdam,49 - 136 m²,,,"From € 875 to 2,000 p/mo."
N pent,1033 SN Amsterdam,58 m²,2 rooms,,"€ 1,150 p/mo."
A,1019 ZZ Amsterdam,44 - 142 m²,,,"From € 995 to 2,000 p/mo."
A,1019 SK Amsterdam,64 - 120 m²,,,"From € 1,125 to 2,000 p/mo."
A,1019 RG Amsterdam,70 - 186 m²,,,"From € 1,275 to 2,500 p/mo."
