Title,Adress,Living Area,Rooms,Status,Price
Van der Helstplein 11 -2,1073 AR Amsterdam,74 m²,3 rooms,Available in consultation,€ 920 p/mo.
Van Walbeeckstraat 105,1058 CN Amsterdam,65 m²,3 rooms,Available on 6/1/2022,"€ 2,000 p/mo."
Anna Blamansingel 179,1102 SW Amsterdam,102 m²,3 rooms,Available in consultation,"€ 1,250 p/mo."
Herengracht 102 K,1015 BS Amsterdam,78 m²,3 rooms,Available immediately,"€ 2,150 p/mo."
Pieter Calandlaan 438,1060 TT Amsterdam,104 m²,4 rooms,Available immediately,"€ 2,150 p/mo."
Burgemeester Tellegenstraat 144,1073 KG Amsterdam,70 m²,5 rooms,Available in consultation,"€ 1,065 p/mo."
Haarlemmerstraat 105 3,1013 EM Amsterdam,62 m²,3 rooms,Available in consultation,"€ 2,200 p/mo."
Nieuwendijk 140 3,1012 MS Amsterdam,60 m²,2 rooms,Available on 6/1/2022,"€ 1,750 p/mo."
Oudezijds Kolk 13 1,1012 AL Amsterdam,140 m²,2 rooms,Available immediately,"€ 2,950 p/mo."
Pampuslaan 118,1087 LA Amsterdam,79 m²,3 rooms,Available in consultation,€ 920 p/mo.
Koningin Wilhelminaplein 92,1062 KS Amsterdam,90 m²,3 rooms,Available immediately,"€ 1,475 p/mo."
Spuistraat 6 6v,1012 TS Amsterdam,100 m²,2 rooms,Available immediately,"€ 2,200 p/mo."
tt. Vasumweg 36 S2,1033 SC Amsterdam,103 m²,3 rooms,Available in consultation,"€ 1,750 p/mo."
Laplacestraat 13 -H,1098 HP Amsterdam,93 m²,3 rooms,Available in consultation,"€ 1,650 p/mo."
Jacob van Lennepstraat 34 -2,1053 HK Amsterdam,65 m²,3 rooms,Available immediately,"€ 1,975 p/mo."
August Vermeylenstraat 48,1064 AB Amsterdam,118 m²,5 rooms,Available immediately,"€ 2,195 p/mo."
Koopvaardersplantsoen 22,1034 KE Amsterdam,93 m²,3 rooms,Available in consultation,"€ 1,300 p/mo."
Zuidelijke Wandelweg 145,1079 RK Amsterdam,70 m²,2 rooms,Available immediately,"€ 2,750 p/mo."
Haarlemmerweg 372,1014 BL Amsterdam,72 m²,3 rooms,Available immediately,"€ 1,950 p/mo."
tt. Vasumweg 36 D6,1033 SC Amsterdam,61 m²,3 rooms,Available immediately,"€ 1,350 p/mo."
Revaleiland 76,1014 ZG Amsterdam,75 m²,2 rooms,Available immediately,"€ 1,195 p/mo."
George Gershwinlaan 426,1082 MT Amsterdam,46 m²,3 rooms,Available immediately,"€ 1,645 p/mo."
Rombout Hogerbeetsstraat 17 -1,1052 VN Amsterdam,43 m²,3 rooms,Available immediately,"€ 1,550 p/mo."
tt. Vasumweg 32 L5,1033 SC Amsterdam,98 m²,3 rooms,Available in consultation,"€ 1,595 p/mo."
Korsjespoortsteeg 18 1,1015 AR Amsterdam,85 m²,2 rooms,Available in consultation,"€ 2,500 p/mo."
Koninginneweg 210 3,1075 EL Amsterdam,71 m²,3 rooms,Available immediately,"€ 2,250 p/mo."
Derkinderenstraat,1061 VX Amsterdam,,,Available in consultation,€ 125 p/mo.
Frieslandstraat 91,1082 TL Amsterdam,,,Available in consultation,€ 225 p/mo.
Jan Tooropstraat 5 B,1062 BK Amsterdam,81 m²,2 rooms,Available immediately,"€ 1,710 p/mo."
Teilingen 89,1082 JR Amsterdam,130 m²,4 rooms,Available in consultation,"€ 2,750 p/mo."
Bijlmerdreef 870,1103 DV Amsterdam,114 m²,4 rooms,Available on 9/1/2022,"€ 1,595 p/mo."
Zeeburgerkade 1308,1019 VK Amsterdam,87 m²,3 rooms,Available in consultation,"€ 1,745 p/mo."
Pantograafstraat,1019 XX Amsterdam,100 m²,3 rooms,Available immediately,"€ 1,920 p/mo."
Pantograafstraat,1019 XX Amsterdam,75 m²,2 rooms,Available immediately,"€ 1,650 p/mo."
Pantograafstraat,1019 XX Amsterdam,97 m²,3 rooms,Available immediately,"€ 1,945 p/mo."
Pantograafstraat,1019 XX Amsterdam,80 m²,2 rooms,Available immediately,"€ 1,590 p/mo."
Pantograafstraat,1019 XX Amsterdam,61 m²,1 room,Available immediately,"€ 1,305 p/mo."
Bijlmerdreef 876,1103 DV Amsterdam,111 m²,4 rooms,Available on 6/1/2022,"€ 1,595 p/mo."
Van Hallstraat,1051 HG Amsterdam,,,Available in consultation,€ 190 p/mo.
Laagte Kadijk 3 -K,1018 BA Amsterdam,78 m²,3 rooms,Available immediately,"€ 1,900 p/mo."
Balboastraat 16 -3,1057 VW Amsterdam,74 m²,3 rooms,Available immediately,"€ 1,605 p/mo."
Leerdamhof 369,1108 CG Amsterdam,57 m²,2 rooms,Available immediately,"€ 1,060 p/mo."
Sumatrakade 809,1019 PZ Amsterdam,63 m²,2 rooms,Available on 6/1/2022,"€ 1,125 p/mo."
Marius Bauerstraat 30 K2,1062 AR Amsterdam,55 m²,3 rooms,Available in consultation,"€ 1,510 p/mo."
Pierre Lallementstraat 784,1097 JR Amsterdam,61 m²,3 rooms,Available immediately,"€ 1,295 p/mo."
Bert Haanstrakade 620,1087 HJ Amsterdam,90 m²,4 rooms,Available in consultation,"€ 1,355 p/mo."
Groenmarktkade 29,1016 TA Amsterdam,53 m²,2 rooms,,€ 732 p/mo.
